symbol	cluster	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-E	HLA-F	HLA-G
C46	cluster2	98040.17	190165.28	71835.11	2572	2522	501.76	312	6487	6057.34	1514.19	47.81	4388.51	6.49	22093	15485.37	276.89	101177.13	4501.34	165.97
C47	cluster2	66290.74	136752.59	107863.43	820	832	160.13	215	1835.13	1143.06	666.33	220.67	913	0	6919	3174.46	25.17	118855.32	2151.61	26.33
C48	cluster2	114935.62	203979.01	100511.81	1018	534	149.02	216	1439	1513.79	277.68	317.32	474.79	2.21	4420	5390.66	28.93	148925.01	7223.36	144.01
C49	cluster2	153831.97	298104.19	221122.79	2961	1725	192.11	535	8678	8158.03	1643.26	740.74	3918.62	5.38	11156	23055.85	7440.76	172585.77	11721.71	543
C5	cluster2	112235.19	150620.73	109647.6	1164	1563	251.97	221	3533	2041.94	413.63	317.37	545.64	7.36	15152	4767.51	1897.08	127823.74	6562.71	170.89
C50	cluster2	27062.77	69346.27	31074.86	796	1119	62	56	1681	1615	411.87	345.13	1511.15	5.85	9850	3848.07	1069.73	35375.97	1778.25	25.88
C52	cluster2	68786.74	146128.36	81011.33	581	482	16	56	962	773	119.15	65.85	200	0	3462	3786.63	200.16	86925.1	2567.09	14.74
C55	cluster2	81155.98	202577.27	121478.39	833	873	170.02	395	1443	1228.1	168.17	16.83	304.03	1.97	8047	3165.12	95.16	145847.73	5403.56	65.76
C56	cluster2	100364.73	192425.12	102694.22	1508	1241	138.71	220	3642.03	2293.12	886.52	272.48	1964.97	1.03	14341	8379.84	543.16	126452.6	5717.89	138.27
C58	cluster2	122150.95	259859.63	128032.09	4847	2439	453	456	8689.7	11982.82	1390.84	54.16	4015.91	35.87	10749	27438.81	7555.81	136314.56	9560.12	36.14
C64	cluster2	83084.61	188966.4	134774.57	1129	1289	209.5	219	2480	1966.11	493.68	25.32	1198.19	4.81	12339	6102.15	208.31	153351.88	6390.09	135.1
C68	cluster2	145113.36	264777.24	217521.77	2175	1079	268.79	196	4665	5767.2	1160.37	18.63	4924	0	7394	13950.65	4144.28	142861.58	10136.96	293.99
C71	cluster2	91657.74	233711.69	176369.4	665	560	229.6	227	1832	1602.45	642.88	7.12	2274	0	7317	2983.32	1193.37	148445.59	6996.74	120.87
C75	cluster2	72888.46	154841.07	110517.16	1283	1221	162	148	3457.04	2017.09	542.5	40.5	1125.08	3.92	13846	6730.58	2745.81	115162.76	4391.36	57.85
C76	cluster2	29786.34	65727.5	33190.03	435	375	51.02	61	742	494.53	93.04	2.96	74.03	0.97	4110	1331.16	19.8	68170.14	1937.04	77.88
C77	cluster2	111925.84	326116.69	138830.86	2004	2199	64.94	136	3308	2367.05	448.28	100.72	3466.35	1.65	17178	8281.73	73.2	201297.85	9823.96	46.73
C78	cluster2	54038.28	111501.15	58923.15	2373	2496	265.85	359	6335	3719.12	765.61	11.39	1638.79	10.21	23784	7953.16	258.33	83088.96	1386.5	37.64
C8	cluster2	60184.14	120244.29	60687.07	588	701	78	150	1203	757	174.55	167.45	287.47	0.53	7798	2317.04	54.37	91954.52	2846.6	15.87
C80	cluster2	197753.42	312585.1	216427.03	1182	674	91.57	167	2097	1540.02	383	0	2245.02	0.98	5841	5873.81	3382.12	207836.08	10203.66	16.36
C85	cluster2	95980.5	242845.4	92435.16	2016	1825	198.25	228	4183	3876.17	387.47	257.53	1179.52	2.48	15934	11644.05	82.93	118764.43	5762.66	83.54
C89	cluster2	75430.51	130342.18	58750.93	1189	1682	207	226	3339	2153.34	1272.7	7.3	2471.66	2.34	14761	4726.46	264.69	114176.81	4387.6	46.89
C92	cluster2	107905.58	179301.55	99378.18	1000	1216	229.79	256	2724.59	1981.58	563.13	114.87	1799	0	9642	5936.17	2014.9	158226.1	8414.39	121.67
C96	cluster2	139337.86	316203.2	125230.14	4103	3360	570.85	510	7437	11728.93	369.87	45.13	2913.2	16.8	13934	23135.1	402.78	122997.49	7497.14	38.66
C97	cluster2	144432.73	316983.99	219244.03	477	336	158.1	242	1107	1020	378.27	109.73	1061	0	2242	2150.82	39.98	208016.02	12260.79	282.45
C99	cluster2	127941.37	317070.79	214610.53	1196	1153	148.28	294	1565.04	2222.88	298.94	105.06	1197.18	2.82	5562	4870.48	9.46	217916.19	10563.77	107.32
