symbol	cluster	IL10	IL10RA	IL10RB	IL11	IL11RA	IL12A	IL12B	IL12RB1	IL12RB2	IL13	IL13RA1	IL13RA2	IL15	IL15RA	IL16	IL17A	IL17B	IL17C	IL17D	IL17F	IL17RA	IL17RB	IL17RC	IL17RD	IL17RE	IL17REL	IL18	IL18BP	IL18R1	IL18RAP	IL19	IL1A	IL1B	IL1F10	IL1R1	IL1R2	IL1RAP	IL1RAPL1	IL1RAPL2	IL1RL1	IL1RL2	IL1RN	IL2	IL20	IL20RA	IL20RB	IL21	IL21R	IL22	IL22RA1	IL22RA2	IL23A	IL23R	IL24	IL25	IL26	IL27	IL27RA	IL2RA	IL2RB	IL2RG	IL3	IL31	IL31RA	IL32	IL33	IL34	IL36A	IL36B	IL36G	IL36RN	IL37	IL3RA	IL4	IL4I1	IL4R	IL5	IL5RA	IL6	IL6R	IL6ST	IL7	IL7R	IL9	IL9R
C22	cluster2	18.82	1166	4304.2	3.84	37	4	0	135.64	1	0	12388.69	0	315.96	43	9472.11	0	0	0	0	0	14393.86	23	10	12.85	3	2.49	400	65	13434	16697	0	1	1321	0	3068.58	77378	2831.11	0	0	492	14	4275	0	1	3	13	3	19.05	0	0	2	2	4.75	11.01	0	0	6	153	28.96	60	11434	0	0	0	136	0	0	0	0	0	0	0	118	0	0	6337	1	74	1	10488.65	1494	4	333	0	4
C23	cluster2	54.09	3116	5455.26	13.24	37	0	0	225.86	11.43	0	7740.97	0	168.73	190	8475.61	0	0	1	1	0	18577.92	16	36	28.82	2	6.27	427.31	64	4299	14724	4	1	4529	0	2401.98	14257	3145	0	0	153	15	7389	0	0	0	16	0	44.02	0	0	3	15	1.02	6.22	0	1	13	716	53.05	183	11756	0	0	5	795	0	0	0	0	0	0	0	71	0	0	13147.95	0	86	4	15663.89	1760	15	970	0	4
C24	cluster2	37.17	3075	4511.81	7.13	58	8	3	346.81	14.18	0	15331.17	0	95.11	99	10965.83	0	1	0	2	0	20280.23	12	14	26.1	5	4.01	317	83	12585	14207	0	0	3647	0	4677.96	56437	3209.86	0	0	1337	17	5898	0	0	0	18	0	52.07	0	0	0	12	2.01	8.45	0	3	12	556.02	31.06	301.66	10735	0	1	0	619	0	0	0	0	0	0	0	88	0	2	10605	0	13	1	16640.38	1791	8	1164	0	7
C26	cluster2	59.42	3910	4767.94	5.95	122	14	0	527.84	15.58	0	14689	0	132.59	214	12131.45	0	0	0	0	0	17339.48	11	8	16.34	9	4.61	326	78	8504	14384	1	2	3303	0	3212.9	24808	2421.79	0	0	193	3	4912	0	0	0	16	4	106	0	0	0	20	0	32.91	0	2	7	778	53.01	551	10397	0	0	5	1675	0	1	0	0	0	0	0	97	0	2	6310	0	32	4	17248.1	1935	10	3219	0	8
C27	cluster2	32.14	5041	6011.16	8.99	105	10	2	636.52	55.19	0	9708.03	0	219.39	179	11850.38	0	0	1	3	0	20147.77	22	19	21.29	11	1.05	269.59	98	3989	3634	3	3	1641	0	2507.01	29412	3118.78	0	0	157	7	5342	0	0	0	19	5	182.03	1	0	0	19	0	14.4	0	4	22	1202.06	76	972	15606	0	0	2	2755	0	0	0	0	0	0	0	238	1	1	9814.1	0	200	1	13765.41	2391	17	5677	0	7
C28	cluster2	27.64	2616	5750.56	8.61	58	20	0	395	12.13	0	21702.91	0	291.03	168	13131.14	0	0	0	0	0	21038.98	9	19	9.13	2	8.06	378.01	84	16551	30228	2	0	2143	0	5287.86	49835	4424.94	0	0	1449	6	7564	0	1	0	14	0	37.03	0	0	0	5	1.01	6.88	3	0	16	444	25.02	214	15638	0	0	0	570	0	0	0	0	0	0	0	70	0	0	11469.02	0	10	0	10280.78	2030	6	359	0	7
C29	cluster2	60.19	2382	5461.1	6.33	75	8	0	361.78	22.89	0	9220	0	93.02	105	5580.68	0	0	0	2	0	13070.27	5	11	10.61	1	1.01	417	32	11526	22202	0	0	938	0	1916.98	55339	1887.76	0	0	123	7	3390	0	0	0	17	0	56	0	0	1	7	1.03	15.47	0	0	22	385	27	128	7047	0	0	8	613	0	0	0	0	0	0	0	42	0	4	12314	0	12	2	10346.24	1152	9	789	0	4
C3	cluster2	30.2	3553	7801.2	8.51	127	7	0	1519.64	86.47	0	10408.94	0	343.36	412	7564.38	0	0	2	2	0	16524.79	8	26	26.84	9	6	294.57	152	10571	18216	2	2	3184	0	825.56	25839	1847.22	0	0	25	3	10055	0	0	0	15	3	159.88	0	1	0	27	4.63	4.83	0	0	49	787	28	910	17320	0	0	11	1514	0	2.66	0	0	0	0	0	527	4	6	8468	0	39	2	10033.17	1429	9	1305	0	33
C31	cluster2	28.64	1795	4909.03	1.08	93	16	1	251.11	36	0	5494	0	382.91	250	5379.35	0	0	2	3	0	12039.17	18	12	6.82	5	2.55	135	66	3111	9021	2	0	2229	0	1485.8	26683	3121.22	0	0	117	3	9903	0	0	0	17	4	90.12	0	0	3	34	0	16.08	0	1	46	458	192.63	249	11575	0	0	7	947	1	0	1	0	0	0	0	561	0	1.9	10478	0	396	2	6770.13	2547	13	2570	0	15
C32	cluster2	1383.22	5767	1649.69	8.84	111	27	0	372.12	29.28	1	6197.05	0	82	62	3357.28	0	0	2	2	0	7605.78	5	23	27.51	3	8.79	457.01	141	8951	17537	2.01	1	63	0	3766.08	50647	4564.52	0	0	395	15	1626	5	1	0	11	1	231.64	0	0	0	10	0.37	8.56	0	0	3	194	22.22	508	4664	0	1	0	1050	0	1	0	0	0	0	0	124	0	2	6417.03	0	1	12	2205.18	2131.03	2	1612	0	19
